match_id,player_slot,radiant_win,win,duration,game_mode,lobby_type,hero_id,start_time,kills,deaths,assists,gold_per_min,xp_per_min,last_hits,denies,hero_damage,tower_damage,hero_healing,level,net_worth,obs_placed,sen_placed,kda_ratio,cs_per_min,denies_per_min,average_rank,leaver_status,party_size,hero_variant
8314978621,129,0,1,2232,22,7,63,2025-05-31 05:06:24,14,8,11,537,647,146,3,25164,10372,0,21,17970,0,0,3.125,3.9247311827956985,0.08064516129032258,35,0,0,1
8314890761,3,0,0,3016,22,7,75,2025-05-31 02:56:44,1,17,23,265,469,57,4,14705,255,320,21,11288,0,0,1.411764705882353,1.1339522546419099,0.07957559681697612,34,0,0,3
8313620263,4,0,0,1931,22,7,28,2025-05-30 05:31:06,0,10,8,285,354,90,2,5303,297,0,14,7656,0,0,0.8,2.7964785085447956,0.06214396685655102,43,0,0,1
8313594040,132,1,0,2410,22,7,54,2025-05-30 04:46:10,7,9,9,502,709,235,7,16850,2250,1292,22,18758,0,0,1.7777777777777777,5.850622406639005,0.17427385892116184,35,0,0,4
8312289827,130,1,0,3155,22,7,123,2025-05-29 05:04:47,6,13,15,492,702,257,10,35498,2758,125,25,22771,0,0,1.6153846153846154,4.887480190174326,0.19017432646592708,34,0,0,1
8312251957,0,1,1,1914,22,7,8,2025-05-29 03:58:37,6,7,11,638,789,261,3,17988,8075,4354,21,19511,0,0,2.4285714285714284,8.181818181818182,0.09404388714733543,43,0,0,1
8312197852,131,1,0,4572,22,7,54,2025-05-29 02:23:22,8,11,11,691,980,685,13,43635,4473,1826,30,37995,0,0,1.7272727272727273,8.989501312335957,0.1706036745406824,33,0,0,4
8309652785,2,0,0,2520,22,7,16,2025-05-27 03:38:00,2,14,12,388,521,151,3,18049,148,0,20,14275,0,0,1.0,3.5952380952380953,0.07142857142857142,45,0,0,3
8303855204,3,0,0,2093,22,7,5,2025-05-23 04:35:16,5,14,16,295,439,61,3,13235,219,707,16,8790,0,0,1.5,1.7486860965121835,0.08600095556617296,41,0,0,4
8302599287,0,1,1,2432,22,7,84,2025-05-22 03:42:26,5,9,21,500,720,83,2,18319,2389,2816,23,19284,0,0,2.888888888888889,2.0476973684210527,0.049342105263157895,42,0,0,1
8299054717,128,0,1,2479,22,7,6,2025-05-19 04:02:29,5,12,16,550,686,219,7,24670,16606,30,22,20888,0,0,1.75,5.300524405002016,0.16942315449778134,41,0,0,2
8294896328,129,0,1,1878,22,7,54,2025-05-16 05:05:24,3,6,7,474,626,179,6,13809,5358,1232,19,14320,0,0,1.6666666666666667,5.718849840255591,0.19169329073482427,41,0,0,4
8294760151,129,1,0,1824,22,7,112,2025-05-16 00:40:43,2,12,4,226,250,30,3,12281,197,4513,11,5575,0,0,0.5,0.986842105263158,0.09868421052631579,42,0,0,3
8292483696,0,0,0,2993,22,7,105,2025-05-14 04:15:08,12,10,21,499,672,170,1,37092,3323,0,24,23072,0,0,3.3,3.4079518877380557,0.020046775810223856,41,0,0,1
8292460597,0,0,0,2065,22,7,64,2025-05-14 03:32:03,9,12,6,381,490,114,2,26035,1661,0,17,10453,0,0,1.25,3.312348668280872,0.05811138014527845,44,0,0,3
8282208523,132,1,0,1823,22,7,64,2025-05-06 01:13:09,5,13,5,384,315,59,0,12520,0,0,13,9662,0,0,0.7692307692307693,1.9418540866703238,0.0,41,0,0,3
8282189603,130,1,0,2234,22,7,18,2025-05-06 00:30:33,4,12,4,400,586,186,0,17054,265,0,20,13122,0,0,0.6666666666666666,4.995523724261415,0.0,41,0,3,2
8282167461,0,0,0,2395,22,7,16,2025-05-05 23:38:39,9,11,18,434,510,156,2,30042,237,0,19,14160,0,0,2.4545454545454546,3.908141962421712,0.05010438413361169,35,0,0,1
8281057841,128,0,1,3194,22,7,20,2025-05-05 03:41:34,3,19,23,358,683,89,2,26761,2742,0,25,16004,0,0,1.368421052631579,1.6718847839699436,0.03757044458359424,44,0,0,1
8281033059,128,1,0,1541,22,7,14,2025-05-05 03:00:13,0,17,3,207,273,9,1,3795,0,0,11,3826,0,0,0.17647058823529413,0.3504218040233614,0.03893575600259572,44,0,0,3
8279675389,130,1,0,2239,22,7,4,2025-05-04 04:56:24,4,13,8,359,431,116,1,18263,301,0,17,10498,0,0,0.9230769230769231,3.108530594015185,0.026797677534613665,34,0,0,1
8279636745,128,1,0,2997,22,7,54,2025-05-04 03:59:19,3,11,10,423,661,239,13,12388,91,2161,24,17408,0,0,1.1818181818181819,4.784784784784785,0.2602602602602602,42,0,0,4
8279605903,131,1,0,2111,22,7,7,2025-05-04 03:11:49,7,18,11,334,557,35,1,28168,167,0,19,9837,0,0,1.0,0.9947891994315491,0.028422548555187117,42,0,0,2
8279515800,4,1,1,2613,22,7,28,2025-05-04 00:39:29,2,9,21,368,716,89,8,12596,1480,317,23,14237,0,0,2.5555555555555554,2.0436280137772678,0.18369690011481057,42,0,0,1
8279489059,4,1,1,2147,22,7,54,2025-05-03 23:49:40,4,7,9,380,547,102,17,8123,1148,888,19,12864,0,0,1.8571428571428572,2.850489054494644,0.4750815090824406,41,0,0,4
8276920193,2,1,1,2876,22,7,54,2025-05-02 05:02:30,6,9,14,605,957,394,11,13633,1912,2031,27,26229,0,0,2.2222222222222223,8.219749652294855,0.2294853963838665,34,0,0,4
8276577290,3,1,1,2785,22,7,16,2025-05-01 20:14:00,3,12,32,438,646,108,1,22331,71,400,23,15403,0,0,2.9166666666666665,2.3267504488330344,0.02154398563734291,51,0,0,1
8275508803,128,0,1,2061,22,7,54,2025-05-01 04:12:20,4,6,9,415,603,156,2,10145,2298,116,19,13505,0,0,2.1666666666666665,4.541484716157205,0.05822416302765648,41,0,0,4
8272974230,2,0,0,1712,22,7,63,2025-04-29 02:17:34,2,8,5,313,492,98,2,11505,729,0,16,7244,0,0,0.875,3.434579439252336,0.07009345794392523,34,0,0,1
8271829405,128,0,1,2385,22,7,16,2025-04-28 03:39:38,8,11,28,472,651,86,0,24457,3074,0,21,14915,0,0,3.272727272727273,2.1635220125786163,0.0,44,0,0,1
